name,has_lcd_region,full_n_stickers,full_n_windows,full_lockability,full_lockability_per_pair,full_mean_p_lock,full_max_p_lock,full_mean_p_pi,full_mean_p_polar,full_mean_g_charge,full_mean_p_lock_eff,lcd_n_stickers,lcd_n_windows,lcd_lockability,lcd_lockability_per_pair,lcd_mean_p_lock,lcd_max_p_lock,lcd_mean_p_pi,lcd_mean_p_polar,lcd_mean_g_charge,lcd_mean_p_lock_eff
alpha_synuclein_ensemble,True,15,15,22.09248549666402,0.21040462377775254,0.3766527812861507,0.8743050478502249,0.15174714652882818,0.2503454564676833,0.6572061752173768,0.21040462377775268,4,4,0.8844948713993623,0.14741581189989372,0.17327581186115817,0.5121835451307294,0.0,0.17327581186115817,0.9495102874602034,0.14741581189989372
asyn_A53T,True,15,15,22.09248549666402,0.21040462377775254,0.3766527812861507,0.8743050478502249,0.15174714652882818,0.2503454564676833,0.6572061752173768,0.21040462377775268,4,4,0.8844948713993623,0.14741581189989372,0.17327581186115817,0.5121835451307294,0.0,0.17327581186115817,0.9495102874602034,0.14741581189989372
asyn_E46K,True,15,15,22.09248549666402,0.21040462377775254,0.3766527812861507,0.8743050478502249,0.15174714652882818,0.2503454564676833,0.6572061752173768,0.21040462377775268,4,4,0.8844948713993623,0.14741581189989372,0.17327581186115817,0.5121835451307294,0.0,0.17327581186115817,0.9495102874602034,0.14741581189989372
ab42_wt,False,6,6,5.503688898187442,0.36691259321249614,0.418110004860193,0.6462269695804432,0.2583246113042225,0.21277663628500337,0.842673826088904,0.36691259321249614,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
tau_2n4r_wt,True,38,38,128.02944103044274,0.182118692788681,0.3377865811293097,0.7262846840948568,0.07396571179723277,0.2757773024331707,0.5563893182256151,0.18211869278868068,17,17,24.974661882943952,0.18363721972752906,0.2914527407167791,0.7594850090759222,0.02783047478969065,0.2678522170579264,0.6370333840578155,0.18363721972752886
tau_P301L,True,38,38,128.02944103044274,0.182118692788681,0.3377865811293097,0.7262846840948568,0.07396571179723277,0.2757773024331707,0.5563893182256151,0.18211869278868068,17,17,24.974661882943952,0.18363721972752906,0.2914527407167791,0.7594850090759222,0.02783047478969065,0.2678522170579264,0.6370333840578155,0.18363721972752886
tdp43_full_wt,True,88,88,1372.8189906829207,0.35862565064862084,0.4051134830957034,0.8545406194185412,0.19036120323784225,0.2412669607182539,0.8732225025239184,0.35862565064861823,42,42,356.20697414784166,0.4137130942483643,0.4165044893413704,0.8385273111068752,0.1695765905505492,0.27478777667175663,0.9947223296996728,0.4137130942483644
tdp43_M337V,True,88,88,1372.8189906829207,0.35862565064862084,0.4051134830957034,0.8545406194185412,0.19036120323784225,0.2412669607182539,0.8732225025239184,0.35862565064861823,42,42,356.20697414784166,0.4137130942483643,0.4165044893413704,0.8385273111068752,0.1695765905505492,0.27478777667175663,0.9947223296996728,0.4137130942483644
tdp43_Q331K,True,87,87,1313.1764771087635,0.35102284873262857,0.40051486119522983,0.8514843542494199,0.18924093162384026,0.23700415959056426,0.8604414994351074,0.351022848732629,41,41,331.3556671981644,0.40409227707093215,0.4080415416969019,0.8355104057709142,0.16669279780120141,0.26773521570462394,0.9896557662113586,0.40409227707093176
fus_full_wt,True,128,128,3541.6048992182386,0.43572894921484234,0.46880301131610147,0.8960958323125655,0.28403001659298976,0.2638791527481093,0.8917026972106632,0.43572894921484273,66,66,1054.103591265302,0.49142358567146943,0.4929812521316649,0.8835128426783683,0.29804095030865657,0.28155523628417845,0.996045560975904,0.4914235856714677
