,PC1,PC2,abs_PC1,abs_PC2
ncpr,0.009616264817223146,0.41193235600907563,0.009616264817223146,0.41193235600907563
fcr,-0.11928743213270798,-0.3239621912058893,0.11928743213270798,0.3239621912058893
kappa,0.06693642667663259,-0.19792467052088114,0.06693642667663259,0.19792467052088114
scd,-0.06760984130760758,-0.05693202322885081,0.06760984130760758,0.05693202322885081
aromatic_frac,-0.3159138911770105,0.21406679490752964,0.3159138911770105,0.21406679490752964
glycine_frac,-0.240447237376497,0.28055492880981564,0.240447237376497,0.28055492880981564
proline_frac,0.3201731087025475,0.14130869900510598,0.3201731087025475,0.14130869900510598
qn_frac,0.25588558028818115,0.10112103352215956,0.25588558028818115,0.10112103352215956
serine_frac,-0.20573613956633777,0.16239333582827759,0.20573613956633777,0.16239333582827759
aromatic_clustering,-0.17427217278412435,-0.28329095732694687,0.17427217278412435,0.28329095732694687
mean_beta_propensity,-0.1405396847305294,-0.1490066920539726,0.1405396847305294,0.1490066920539726
full_mean_p_lock,-0.3148964268435177,0.18581458332822284,0.3148964268435177,0.18581458332822284
full_mean_p_polar,0.23759145019885067,-0.054484163269327084,0.23759145019885067,0.054484163269327084
lcd_lockability_per_pair,-0.24990430621050355,0.2281696989102761,0.24990430621050355,0.2281696989102761
max_apr_score,-0.32644382299635394,-0.21322656204397328,0.32644382299635394,0.21322656204397328
larks_count,-0.1863961863661563,-0.14417321671296693,0.1863961863661563,0.14417321671296693
emb_norm,0.2210726249547602,0.12039359966106507,0.2210726249547602,0.12039359966106507
esm2_pc1,0.345586323926283,-0.12672271382213798,0.345586323926283,0.12672271382213798
esm2_pc2,-0.07260916920128065,0.0018825002216496035,0.07260916920128065,0.0018825002216496035
esm2_pc3,0.12471671288297878,0.38325806670350665,0.12471671288297878,0.38325806670350665
esm2_pc4,-0.034071350632072936,0.17896943966243203,0.034071350632072936,0.17896943966243203
esm2_pc5,-0.014307865287239515,-0.022150194030147223,0.014307865287239515,0.022150194030147223
esm2_pc6,0.06592834690798184,-0.04990382722656379,0.06592834690798184,0.04990382722656379
esm2_pc7,-0.00029880259308933353,-0.15958552853164135,0.00029880259308933353,0.15958552853164135
esm2_pc8,-0.05525325637102011,-0.07276870688386045,0.05525325637102011,0.07276870688386045
esm2_pc9,0.006583757962608214,-0.013757373534954953,0.006583757962608214,0.013757373534954953
esm2_pc10,0.035547593868175215,0.013113595489025773,0.035547593868175215,0.013113595489025773
