evaluation_set,method,auroc,auprc
clean,esm2_only,0.7481953160247733,0.9527535849117134
clean,membership_only,0.792174234034699,0.967181151331228
clean,membership_plus_llr,0.872667240884295,0.9749013403030014
clean,membership_plus_llr_plus_features,0.8905705262294409,0.9776216790908716
full_vus,esm2_only,0.6762495713305898,0.36639838667611824
full_vus,membership_only,0.7292015726043504,0.6234488757539628
full_vus,membership_plus_llr,0.7656813394081913,0.43062530848760483
full_vus,membership_plus_llr_plus_features,0.7840969772682735,0.45303582282028687
